id,project,session_id,timestamp,session_date,actor,code,category,superclass
20,Project_3,e3ce0d904bba,2026-02-05T21:54:11.135Z,2026-02-05,Human,Interrupt,Interrupt,Metacognitive
21,Project_3,e3ce0d904bba,2026-02-05T21:54:12.752Z,2026-02-05,Human,Request,Request,Directive
21,Project_3,e3ce0d904bba,2026-02-05T21:54:12.752Z,2026-02-05,Human,Specification,Specify,Directive
22,Project_3,e3ce0d904bba,2026-02-05T21:54:15.242Z,2026-02-05,AI,Execute,Execute,Action
23,Project_3,e3ce0d904bba,2026-02-05T21:59:28.088Z,2026-02-05,Human,Ask,Inquire,Metacognitive
24,Project_3,e3ce0d904bba,2026-02-05T21:59:30.448Z,2026-02-05,AI,Execute,Execute,Action
25,Project_3,e3ce0d904bba,2026-02-05T22:00:54.430Z,2026-02-05,Human,Command,Command,Directive
25,Project_3,e3ce0d904bba,2026-02-05T22:00:54.430Z,2026-02-05,Human,Specification,Specify,Directive
26,Project_3,e3ce0d904bba,2026-02-05T22:00:59.601Z,2026-02-05,AI,Execute,Execute,Action
27,Project_3,e3ce0d904bba,2026-02-05T22:05:43.104Z,2026-02-05,Human,Command,Command,Directive
28,Project_3,e3ce0d904bba,2026-02-05T22:05:46.145Z,2026-02-05,AI,Investigate,Investigate,Action
29,Project_3,e3ce0d904bba,2026-02-05T22:09:08.175Z,2026-02-05,Human,Ask,Inquire,Metacognitive
29,Project_3,e3ce0d904bba,2026-02-05T22:09:08.175Z,2026-02-05,Human,Specification,Specify,Directive
30,Project_3,e3ce0d904bba,2026-02-05T22:09:10.900Z,2026-02-05,AI,Execute,Execute,Action
31,Project_3,e3ce0d904bba,2026-02-05T22:14:42.168Z,2026-02-05,Human,Command,Command,Directive
32,Project_3,e3ce0d904bba,2026-02-05T22:14:47.104Z,2026-02-05,AI,Execute,Execute,Action
33,Project_3,e3ce0d904bba,2026-02-05T22:22:02.333Z,2026-02-05,Human,Arguing,Frustrate,Evaluative
33,Project_3,e3ce0d904bba,2026-02-05T22:22:02.333Z,2026-02-05,Human,Correction,Correct,Evaluative
34,Project_3,e3ce0d904bba,2026-02-05T22:22:06.521Z,2026-02-05,AI,Comply,Execute,Action
34,Project_3,e3ce0d904bba,2026-02-05T22:22:06.521Z,2026-02-05,AI,Investigate,Investigate,Action
35,Project_3,e3ce0d904bba,2026-02-05T22:22:16.670Z,2026-02-05,Human,Interrupt,Interrupt,Metacognitive
36,Project_3,e3ce0d904bba,2026-02-05T22:23:06.680Z,2026-02-05,Human,Frustration,Frustrate,Evaluative
36,Project_3,e3ce0d904bba,2026-02-05T22:23:06.680Z,2026-02-05,Human,Specification,Specify,Directive
37,Project_3,e3ce0d904bba,2026-02-05T22:23:10.215Z,2026-02-05,AI,Investigate,Investigate,Action
37,Project_3,e3ce0d904bba,2026-02-05T22:23:10.215Z,2026-02-05,AI,Plan,Plan,Repair
38,Project_3,e3ce0d904bba,2026-02-05T22:26:31.837Z,2026-02-05,Human,Context,Specify,Directive
38,Project_3,e3ce0d904bba,2026-02-05T22:26:31.837Z,2026-02-05,Human,Specification,Specify,Directive
39,Project_3,e3ce0d904bba,2026-02-05T22:26:36.562Z,2026-02-05,AI,Execute,Execute,Action
40,Project_3,e3ce0d904bba,2026-02-05T22:33:06.409Z,2026-02-05,Human,Ask,Inquire,Metacognitive
41,Project_3,e3ce0d904bba,2026-02-05T22:33:09.795Z,2026-02-05,AI,Investigate,Investigate,Action
41,Project_3,e3ce0d904bba,2026-02-05T22:33:09.795Z,2026-02-05,AI,Retry,Execute,Action
42,Project_3,e3ce0d904bba,2026-02-05T22:37:22.681Z,2026-02-05,Human,Command,Command,Directive
43,Project_3,e3ce0d904bba,2026-02-05T22:37:24.885Z,2026-02-05,AI,Investigate,Investigate,Action
44,Project_3,e3ce0d904bba,2026-02-05T22:40:18.497Z,2026-02-05,Human,Ask,Inquire,Metacognitive
45,Project_3,e3ce0d904bba,2026-02-05T22:40:20.307Z,2026-02-05,AI,Explain,Explain,Communication
46,Project_3,e3ce0d904bba,2026-02-05T22:41:34.929Z,2026-02-05,Human,Request,Request,Directive
46,Project_3,e3ce0d904bba,2026-02-05T22:41:34.929Z,2026-02-05,Human,Specification,Specify,Directive
47,Project_3,e3ce0d904bba,2026-02-05T22:41:36.807Z,2026-02-05,AI,Explain,Explain,Communication
48,Project_3,e3ce0d904bba,2026-02-05T22:43:12.771Z,2026-02-05,Human,Verification,Verify,Evaluative
49,Project_3,e3ce0d904bba,2026-02-05T22:43:14.558Z,2026-02-05,AI,Explain,Explain,Communication
49,Project_3,e3ce0d904bba,2026-02-05T22:43:14.558Z,2026-02-05,AI,Report,Report,Communication
50,Project_3,e3ce0d904bba,2026-02-05T22:47:27.066Z,2026-02-05,Human,Correction,Correct,Evaluative
50,Project_3,e3ce0d904bba,2026-02-05T22:47:27.066Z,2026-02-05,Human,Verification,Verify,Evaluative
51,Project_3,e3ce0d904bba,2026-02-05T22:47:29.623Z,2026-02-05,AI,Comply,Execute,Action
51,Project_3,e3ce0d904bba,2026-02-05T22:47:29.623Z,2026-02-05,AI,Investigate,Investigate,Action
52,Project_3,e3ce0d904bba,2026-02-05T22:49:56.732Z,2026-02-05,Human,Refinement,Refine,Evaluative
53,Project_3,e3ce0d904bba,2026-02-05T22:49:59.901Z,2026-02-05,AI,Execute,Execute,Action
54,Project_3,e3ce0d904bba,2026-02-05T22:51:08.137Z,2026-02-05,Human,Request,Request,Directive
55,Project_3,e3ce0d904bba,2026-02-05T22:51:10.777Z,2026-02-05,AI,Execute,Execute,Action
56,Project_3,dad4fd69c598,2026-02-06T09:53:05.983Z,2026-02-06,Human,Context,Specify,Directive
56,Project_3,dad4fd69c598,2026-02-06T09:53:05.983Z,2026-02-06,Human,Direct,Command,Directive
56,Project_3,dad4fd69c598,2026-02-06T09:53:05.983Z,2026-02-06,Human,Request,Request,Directive
56,Project_3,dad4fd69c598,2026-02-06T09:53:05.983Z,2026-02-06,Human,Specification,Specify,Directive
57,Project_3,dad4fd69c598,2026-02-06T09:53:05.994Z,2026-02-06,Human,Interrupt,Interrupt,Metacognitive
58,Project_3,dad4fd69c598,2026-02-06T09:53:08.314Z,2026-02-06,AI,Investigate,Investigate,Action
58,Project_3,dad4fd69c598,2026-02-06T09:53:08.314Z,2026-02-06,AI,Plan,Plan,Repair
59,Project_3,dad4fd69c598,2026-02-06T10:03:21.580Z,2026-02-06,Human,Specification,Specify,Directive
59,Project_3,dad4fd69c598,2026-02-06T10:03:21.580Z,2026-02-06,Human,Verification,Verify,Evaluative
60,Project_3,dad4fd69c598,2026-02-06T10:03:25.570Z,2026-02-06,AI,Execute,Execute,Action
61,Project_3,dad4fd69c598,2026-02-06T10:08:59.659Z,2026-02-06,Human,Command,Command,Directive
62,Project_3,dad4fd69c598,2026-02-06T10:15:46.183Z,2026-02-06,Human,Arguing,Frustrate,Evaluative
62,Project_3,dad4fd69c598,2026-02-06T10:15:46.183Z,2026-02-06,Human,Correction,Correct,Evaluative
63,Project_3,dad4fd69c598,2026-02-06T10:15:49.487Z,2026-02-06,AI,Comply,Execute,Action
63,Project_3,dad4fd69c598,2026-02-06T10:15:49.487Z,2026-02-06,AI,Execute,Execute,Action
63,Project_3,dad4fd69c598,2026-02-06T10:15:49.487Z,2026-02-06,AI,Plan,Plan,Repair
64,Project_3,dad4fd69c598,2026-02-06T12:11:54.408Z,2026-02-06,Human,Correction,Correct,Evaluative
65,Project_3,dad4fd69c598,2026-02-06T12:11:57.249Z,2026-02-06,AI,Apologize,Repair,Repair
65,Project_3,dad4fd69c598,2026-02-06T12:11:57.249Z,2026-02-06,AI,Comply,Execute,Action
65,Project_3,dad4fd69c598,2026-02-06T12:11:57.249Z,2026-02-06,AI,Execute,Execute,Action
66,Project_3,dad4fd69c598,2026-02-06T13:41:36.103Z,2026-02-06,Human,Specification,Specify,Directive
67,Project_3,dad4fd69c598,2026-02-06T13:41:42.460Z,2026-02-06,AI,Execute,Execute,Action
68,Project_3,dad4fd69c598,2026-02-06T13:47:38.207Z,2026-02-06,Human,Command,Command,Directive
69,Project_3,dad4fd69c598,2026-02-06T13:47:42.710Z,2026-02-06,AI,Execute,Execute,Action
70,Project_3,dad4fd69c598,2026-02-06T13:55:32.003Z,2026-02-06,Human,Command,Command,Directive
71,Project_3,dad4fd69c598,2026-02-06T13:55:37.324Z,2026-02-06,Human,Command,Command,Directive
72,Project_3,dad4fd69c598,2026-02-06T13:55:39.748Z,2026-02-06,AI,Plan,Plan,Repair
73,Project_3,dad4fd69c598,2026-02-06T13:55:40.771Z,2026-02-06,Human,Command,Command,Directive
74,Project_3,dad4fd69c598,2026-02-06T13:55:44.066Z,2026-02-06,AI,Acknowledge,Report,Communication
75,Project_3,dad4fd69c598,2026-02-06T13:56:49.215Z,2026-02-06,Human,Arguing,Frustrate,Evaluative
75,Project_3,dad4fd69c598,2026-02-06T13:56:49.215Z,2026-02-06,Human,Correction,Correct,Evaluative
76,Project_3,dad4fd69c598,2026-02-06T13:56:51.908Z,2026-02-06,AI,Comply,Execute,Action
76,Project_3,dad4fd69c598,2026-02-06T13:56:51.908Z,2026-02-06,AI,Execute,Execute,Action
76,Project_3,dad4fd69c598,2026-02-06T13:56:51.908Z,2026-02-06,AI,Plan,Plan,Repair
77,Project_3,dad4fd69c598,2026-02-06T14:11:47.308Z,2026-02-06,Human,Correction,Correct,Evaluative
77,Project_3,dad4fd69c598,2026-02-06T14:11:47.308Z,2026-02-06,Human,Verification,Verify,Evaluative
78,Project_3,dad4fd69c598,2026-02-06T14:11:49.838Z,2026-02-06,AI,Comply,Execute,Action
78,Project_3,dad4fd69c598,2026-02-06T14:11:49.838Z,2026-02-06,AI,Execute,Execute,Action
79,Project_3,dad4fd69c598,2026-02-06T15:46:46.680Z,2026-02-06,Human,Command,Command,Directive
80,Project_3,dad4fd69c598,2026-02-06T15:46:55.563Z,2026-02-06,AI,Execute,Execute,Action
81,Project_3,dad4fd69c598,2026-02-06T16:45:45.518Z,2026-02-06,Human,Command,Command,Directive
81,Project_3,dad4fd69c598,2026-02-06T16:45:45.518Z,2026-02-06,Human,Specification,Specify,Directive
82,Project_3,dad4fd69c598,2026-02-06T16:45:54.321Z,2026-02-06,AI,Execute,Execute,Action
83,Project_3,dad4fd69c598,2026-02-06T16:48:17.128Z,2026-02-06,Human,Ask,Inquire,Metacognitive
84,Project_3,dad4fd69c598,2026-02-06T16:48:21.077Z,2026-02-06,AI,Execute,Execute,Action
85,Project_3,dad4fd69c598,2026-02-06T16:51:07.389Z,2026-02-06,Human,Command,Command,Directive
85,Project_3,dad4fd69c598,2026-02-06T16:51:07.389Z,2026-02-06,Human,Correction,Correct,Evaluative
86,Project_3,dad4fd69c598,2026-02-06T16:51:10.605Z,2026-02-06,AI,Comply,Execute,Action
86,Project_3,dad4fd69c598,2026-02-06T16:51:10.605Z,2026-02-06,AI,Execute,Execute,Action
86,Project_3,dad4fd69c598,2026-02-06T16:51:10.605Z,2026-02-06,AI,Plan,Plan,Repair
87,Project_3,dad4fd69c598,2026-02-06T17:24:13.374Z,2026-02-06,Human,Context,Specify,Directive
87,Project_3,dad4fd69c598,2026-02-06T17:24:13.374Z,2026-02-06,Human,Specification,Specify,Directive
88,Project_3,dad4fd69c598,2026-02-06T17:24:15.411Z,2026-02-06,AI,Execute,Execute,Action
88,Project_3,dad4fd69c598,2026-02-06T17:24:15.411Z,2026-02-06,AI,Plan,Plan,Repair
89,Project_3,dad4fd69c598,2026-02-06T18:07:00.696Z,2026-02-06,Human,Command,Command,Directive
90,Project_3,dad4fd69c598,2026-02-06T18:07:03.381Z,2026-02-06,AI,Acknowledge,Report,Communication
91,Project_3,dad4fd69c598,2026-02-06T18:07:15.466Z,2026-02-06,Human,Request,Request,Directive
92,Project_3,dad4fd69c598,2026-02-06T18:07:17.489Z,2026-02-06,AI,Delegate,Delegate,Action
93,Project_3,dad4fd69c598,2026-02-06T18:31:22.480Z,2026-02-06,Human,Command,Command,Directive
94,Project_3,dad4fd69c598,2026-02-06T18:31:24.971Z,2026-02-06,AI,Explain,Explain,Communication
95,Project_4,ed8b5bba6b00,2026-02-21T17:11:52.798Z,2026-02-21,Human,Command,Command,Directive
96,Project_4,ed8b5bba6b00,2026-02-21T17:11:54.879Z,2026-02-21,AI,Investigate,Investigate,Action
97,Project_4,ed8b5bba6b00,2026-02-21T17:16:42.344Z,2026-02-21,Human,Command,Command,Directive
97,Project_4,ed8b5bba6b00,2026-02-21T17:16:42.344Z,2026-02-21,Human,Reject,Correct,Evaluative
98,Project_4,ed8b5bba6b00,2026-02-21T17:16:45.532Z,2026-02-21,AI,Execute,Execute,Action
99,Project_5,9fdba43be437,2026-02-21T17:22:32.629Z,2026-02-21,Human,Command,Command,Directive
100,Project_5,9fdba43be437,2026-02-21T17:22:35.156Z,2026-02-21,AI,Investigate,Investigate,Action
101,Project_5,9fdba43be437,2026-02-21T17:24:21.599Z,2026-02-21,Human,Correction,Correct,Evaluative
101,Project_5,9fdba43be437,2026-02-21T17:24:21.599Z,2026-02-21,Human,Reject,Correct,Evaluative
101,Project_5,9fdba43be437,2026-02-21T17:24:21.599Z,2026-02-21,Human,Specification,Specify,Directive
102,Project_5,9fdba43be437,2026-02-21T17:24:25.268Z,2026-02-21,AI,Execute,Execute,Action
103,Project_5,9fdba43be437,2026-02-21T17:31:33.498Z,2026-02-21,Human,Command,Command,Directive
104,Project_5,9fdba43be437,2026-02-21T17:31:38.191Z,2026-02-21,AI,Execute,Execute,Action
105,Project_5,9fdba43be437,2026-02-21T17:32:39.858Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
106,Project_5,9fdba43be437,2026-02-21T17:32:42.769Z,2026-02-21,AI,Execute,Execute,Action
107,Project_5,9fdba43be437,2026-02-21T17:36:29.721Z,2026-02-21,Human,Request,Request,Directive
107,Project_5,9fdba43be437,2026-02-21T17:36:29.721Z,2026-02-21,Human,Specification,Specify,Directive
108,Project_5,9fdba43be437,2026-02-21T17:36:34.489Z,2026-02-21,AI,Execute,Execute,Action
109,Project_5,9fdba43be437,2026-02-21T17:59:29.450Z,2026-02-21,Human,Ask,Inquire,Metacognitive
110,Project_5,9fdba43be437,2026-02-21T17:59:32.633Z,2026-02-21,AI,Explain,Explain,Communication
111,Project_5,9fdba43be437,2026-02-21T18:04:08.858Z,2026-02-21,Human,Refinement,Refine,Evaluative
111,Project_5,9fdba43be437,2026-02-21T18:04:08.858Z,2026-02-21,Human,Specification,Specify,Directive
112,Project_5,9fdba43be437,2026-02-21T18:05:13.824Z,2026-02-21,AI,Investigate,Investigate,Action
112,Project_5,9fdba43be437,2026-02-21T18:05:13.824Z,2026-02-21,AI,Plan,Plan,Repair
113,Project_5,9fdba43be437,2026-02-21T18:11:32.247Z,2026-02-21,Human,Arguing,Frustrate,Evaluative
113,Project_5,9fdba43be437,2026-02-21T18:11:32.247Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
114,Project_5,9fdba43be437,2026-02-21T18:11:46.371Z,2026-02-21,AI,Apologize,Repair,Repair
114,Project_5,9fdba43be437,2026-02-21T18:11:46.371Z,2026-02-21,AI,Execute,Execute,Action
115,Project_5,9fdba43be437,2026-02-21T18:16:25.943Z,2026-02-21,Human,Request,Request,Directive
115,Project_5,9fdba43be437,2026-02-21T18:16:25.943Z,2026-02-21,Human,Specification,Specify,Directive
116,Project_5,9fdba43be437,2026-02-21T18:17:03.000Z,2026-02-21,AI,Execute,Execute,Action
117,Project_5,9fdba43be437,2026-02-21T18:27:46.248Z,2026-02-21,Human,Refinement,Refine,Evaluative
117,Project_5,9fdba43be437,2026-02-21T18:27:46.248Z,2026-02-21,Human,Specification,Specify,Directive
118,Project_5,9fdba43be437,2026-02-21T18:29:13.781Z,2026-02-21,Human,Context,Specify,Directive
118,Project_5,9fdba43be437,2026-02-21T18:29:13.781Z,2026-02-21,Human,Specification,Specify,Directive
119,Project_5,9fdba43be437,2026-02-21T18:29:16.051Z,2026-02-21,AI,Investigate,Investigate,Action
120,Project_5,9fdba43be437,2026-02-21T18:32:06.708Z,2026-02-21,Human,Refinement,Refine,Evaluative
120,Project_5,9fdba43be437,2026-02-21T18:32:06.708Z,2026-02-21,Human,Specification,Specify,Directive
121,Project_5,9fdba43be437,2026-02-21T18:32:09.453Z,2026-02-21,AI,Execute,Execute,Action
122,Project_5,4bb3c80a2816,2026-02-21T18:39:20.468Z,2026-02-21,Human,Context,Specify,Directive
122,Project_5,4bb3c80a2816,2026-02-21T18:39:20.468Z,2026-02-21,Human,Direct,Command,Directive
122,Project_5,4bb3c80a2816,2026-02-21T18:39:20.468Z,2026-02-21,Human,Specification,Specify,Directive
123,Project_5,9fdba43be437,2026-02-21T18:39:20.470Z,2026-02-21,Human,Interrupt,Interrupt,Metacognitive
124,Project_5,4bb3c80a2816,2026-02-21T18:39:22.667Z,2026-02-21,AI,Investigate,Investigate,Action
125,Project_5,4bb3c80a2816,2026-02-21T18:49:50.092Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
125,Project_5,4bb3c80a2816,2026-02-21T18:49:50.092Z,2026-02-21,Human,Refinement,Refine,Evaluative
126,Project_5,4bb3c80a2816,2026-02-21T18:50:28.485Z,2026-02-21,AI,Investigate,Investigate,Action
126,Project_5,4bb3c80a2816,2026-02-21T18:50:28.485Z,2026-02-21,AI,Plan,Plan,Repair
127,Project_5,4bb3c80a2816,2026-02-21T18:56:30.539Z,2026-02-21,Human,Request,Request,Directive
128,Project_5,4bb3c80a2816,2026-02-21T18:56:32.624Z,2026-02-21,Human,Interrupt,Interrupt,Metacognitive
129,Project_5,4bb3c80a2816,2026-02-21T18:56:52.269Z,2026-02-21,Human,Refinement,Refine,Evaluative
130,Project_5,4bb3c80a2816,2026-02-21T18:57:52.528Z,2026-02-21,AI,Explain,Explain,Communication
130,Project_5,4bb3c80a2816,2026-02-21T18:57:52.528Z,2026-02-21,AI,Investigate,Investigate,Action
131,Project_5,4bb3c80a2816,2026-02-21T19:05:41.666Z,2026-02-21,Human,Ask,Inquire,Metacognitive
132,Project_5,4bb3c80a2816,2026-02-21T19:06:19.057Z,2026-02-21,AI,Investigate,Investigate,Action
133,Project_5,4bb3c80a2816,2026-02-21T19:11:18.095Z,2026-02-21,Human,Ask,Inquire,Metacognitive
134,Project_5,4bb3c80a2816,2026-02-21T19:11:36.985Z,2026-02-21,AI,Investigate,Investigate,Action
135,Project_5,4bb3c80a2816,2026-02-21T19:16:25.378Z,2026-02-21,Human,Refinement,Refine,Evaluative
135,Project_5,4bb3c80a2816,2026-02-21T19:16:25.378Z,2026-02-21,Human,Specification,Specify,Directive
136,Project_5,4bb3c80a2816,2026-02-21T19:16:29.348Z,2026-02-21,AI,Investigate,Investigate,Action
136,Project_5,4bb3c80a2816,2026-02-21T19:16:29.348Z,2026-02-21,AI,Plan,Plan,Repair
137,Project_5,4bb3c80a2816,2026-02-21T19:23:21.705Z,2026-02-21,Human,Correction,Correct,Evaluative
137,Project_5,4bb3c80a2816,2026-02-21T19:23:21.705Z,2026-02-21,Human,Specification,Specify,Directive
138,Project_5,4bb3c80a2816,2026-02-21T19:24:00.937Z,2026-02-21,AI,Comply,Execute,Action
138,Project_5,4bb3c80a2816,2026-02-21T19:24:00.937Z,2026-02-21,AI,Investigate,Investigate,Action
139,Project_5,4bb3c80a2816,2026-02-21T19:25:39.261Z,2026-02-21,Human,Context,Specify,Directive
139,Project_5,4bb3c80a2816,2026-02-21T19:25:39.261Z,2026-02-21,Human,Specification,Specify,Directive
140,Project_5,4bb3c80a2816,2026-02-21T19:25:42.612Z,2026-02-21,AI,Investigate,Investigate,Action
141,Project_5,4bb3c80a2816,2026-02-21T19:29:19.480Z,2026-02-21,Human,Ask,Inquire,Metacognitive
141,Project_5,4bb3c80a2816,2026-02-21T19:29:19.480Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
142,Project_5,4bb3c80a2816,2026-02-21T19:29:23.053Z,2026-02-21,AI,Investigate,Investigate,Action
142,Project_5,4bb3c80a2816,2026-02-21T19:29:23.053Z,2026-02-21,AI,Plan,Plan,Repair
143,Project_5,4bb3c80a2816,2026-02-21T19:31:16.216Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
144,Project_5,4bb3c80a2816,2026-02-21T19:31:45.482Z,2026-02-21,AI,Investigate,Investigate,Action
144,Project_5,4bb3c80a2816,2026-02-21T19:31:45.482Z,2026-02-21,AI,Plan,Plan,Repair
145,Project_5,4bb3c80a2816,2026-02-21T19:38:26.727Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
146,Project_5,4bb3c80a2816,2026-02-21T19:41:00.220Z,2026-02-21,AI,Explain,Explain,Communication
146,Project_5,4bb3c80a2816,2026-02-21T19:41:00.220Z,2026-02-21,AI,Investigate,Investigate,Action
147,Project_5,4bb3c80a2816,2026-02-21T19:44:16.374Z,2026-02-21,Human,Arguing,Frustrate,Evaluative
147,Project_5,4bb3c80a2816,2026-02-21T19:44:16.374Z,2026-02-21,Human,Correction,Correct,Evaluative
147,Project_5,4bb3c80a2816,2026-02-21T19:44:16.374Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
148,Project_5,4bb3c80a2816,2026-02-21T19:45:22.697Z,2026-02-21,AI,Comply,Execute,Action
148,Project_5,4bb3c80a2816,2026-02-21T19:45:22.697Z,2026-02-21,AI,Investigate,Investigate,Action
149,Project_5,4bb3c80a2816,2026-02-21T19:51:07.466Z,2026-02-21,Human,Interrupt,Interrupt,Metacognitive
150,Project_5,4bb3c80a2816,2026-02-21T19:51:29.315Z,2026-02-21,Human,Thinking,Inquire,Metacognitive
151,Project_5,4bb3c80a2816,2026-02-21T19:53:25.073Z,2026-02-21,AI,Investigate,Investigate,Action
152,Project_5,b8f4a23f6e39,2026-02-21T19:56:01.882Z,2026-02-21,Human,Context,Specify,Directive
152,Project_5,b8f4a23f6e39,2026-02-21T19:56:01.882Z,2026-02-21,Human,Direct,Command,Directive
152,Project_5,b8f4a23f6e39,2026-02-21T19:56:01.882Z,2026-02-21,Human,Specification,Specify,Directive
153,Project_5,4bb3c80a2816,2026-02-21T19:56:01.883Z,2026-02-21,Human,Interrupt,Interrupt,Metacognitive
154,Project_5,b8f4a23f6e39,2026-02-21T19:56:04.329Z,2026-02-21,AI,Investigate,Investigate,Action
155,Project_5,b8f4a23f6e39,2026-02-21T20:00:24.940Z,2026-02-21,Human,Arguing,Frustrate,Evaluative
155,Project_5,b8f4a23f6e39,2026-02-21T20:00:24.940Z,2026-02-21,Human,Frustration,Frustrate,Evaluative
156,Project_5,b8f4a23f6e39,2026-02-21T20:01:43.245Z,2026-02-21,AI,Investigate,Investigate,Action
156,Project_5,b8f4a23f6e39,2026-02-21T20:01:43.245Z,2026-02-21,AI,Plan,Plan,Repair
157,Project_5,b8f4a23f6e39,2026-02-21T20:02:58.589Z,2026-02-21,Human,Thinking,Inquire,Metacognitive
158,Project_5,b8f4a23f6e39,2026-02-21T20:03:01.081Z,2026-02-21,AI,Execute,Execute,Action
159,Project_5,b8f4a23f6e39,2026-02-21T20:07:01.876Z,2026-02-21,Human,Correction,Correct,Evaluative
160,Project_5,b8f4a23f6e39,2026-02-21T20:07:11.850Z,2026-02-21,AI,Comply,Execute,Action
160,Project_5,b8f4a23f6e39,2026-02-21T20:07:11.850Z,2026-02-21,AI,Execute,Execute,Action
160,Project_5,b8f4a23f6e39,2026-02-21T20:07:11.850Z,2026-02-21,AI,Investigate,Investigate,Action
161,Project_5,b8f4a23f6e39,2026-02-21T20:08:40.677Z,2026-02-21,Human,Specification,Specify,Directive
162,Project_5,b8f4a23f6e39,2026-02-21T20:08:42.823Z,2026-02-21,AI,Investigate,Investigate,Action
163,Project_5,b8f4a23f6e39,2026-02-21T20:10:59.114Z,2026-02-21,Human,Correction,Correct,Evaluative
